FileName;Group;Gender;Genome;ShortName
GSM300186;FEM.CT;FEM;CT;FEM.CT.1
GSM300189;FEM.CT;FEM;CT;FEM.CT.2
GSM300192;FEM.CT;FEM;CT;FEM.CT.3
GSM300196;FEM.CT;FEM;CT;FEM.CT.4
GSM300218;FEM.CT;FEM;CT;FEM.CT.5
GSM300222;FEM.CT;FEM;CT;FEM.CT.6
GSM300228;FEM.CT;FEM;CT;FEM.CT.7
GSM300173;MALE.CT;MALE;CT;MALE.CT.1
GSM300177;MALE.CT;MALE;CT;MALE.CT.2
GSM300181;MALE.CT;MALE;CT;MALE.CT.3
GSM300204;MALE.CT;MALE;CT;MALE.CT.4
GSM300208;MALE.CT;MALE;CT;MALE.CT.5
GSM300214;MALE.CT;MALE;CT;MALE.CT.6
GSM300234;MALE.CT;MALE;CT;MALE.CT.7
GSM1176196;FEM.AD;FEM;AD;FEM.AD.1
GSM1176197;FEM.AD;FEM;AD;FEM.AD.2
GSM1176198;FEM.AD;FEM;AD;FEM.AD.3
GSM1176199;FEM.AD;FEM;AD;FEM.AD.4
GSM1176200;FEM.AD;FEM;AD;FEM.AD.5
GSM1176201;FEM.AD;FEM;AD;FEM.AD.6
GSM1176202;FEM.AD;FEM;AD;FEM.AD.7
GSM1176204;MALE.AD;MALE;AD;MALE.AD.1
GSM1176205;MALE.AD;MALE;AD;MALE.AD.2
GSM1176206;MALE.AD;MALE;AD;MALE.AD.3
GSM1176207;MALE.AD;MALE;AD;MALE.AD.4
GSM1176208;MALE.AD;MALE;AD;MALE.AD.5
GSM1176209;MALE.AD;MALE;AD;MALE.AD.6
GSM1176210;MALE.AD;MALE;AD;MALE.AD.7
