"","PROBEID","SYMBOL","GENENAME","ENTREZID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1255_g_at","GUCA1A","guanylate cyclase activator 1A","2978",-0.593537943203144,4.80322069923909,-2.40224822437985,0.0230350920068766,0.795882243645472,-4.20715982802025
"2","1552275_s_at","PXK","PX domain containing serine/threonine kinase like","54899",0.633538099210263,9.33112642438635,1.39652489178853,0.173324351130146,0.795882243645472,-4.51752456507739
"3","1552277_a_at","MSANTD3","Myb/SANT DNA binding domain containing 3","91283",-0.049491850377712,7.64229000437426,-0.324141239847107,0.748194948952974,0.908590903421349,-4.6941400021652
"4","1552287_s_at","AFG3L1P","AFG3 like matrix AAA peptidase subunit 1, pseudogene","172",0.154535840198519,7.286359435985,0.750329789200417,0.45919816474805,0.8139578369174,-4.64842262468404
"5","1552301_a_at","CORO6","coronin 6","84940",-0.155455045186401,8.01300603657982,-0.496602192797122,0.623273474259048,0.86564193827311,-4.67986854684911
"6","1552309_a_at","NEXN","nexilin F-actin binding protein","91624",0.386316462787239,5.5442366550429,1.33697001745969,0.191793069068161,0.795882243645472,-4.53232283360159
"7","1552310_at","C15orf40","chromosome 15 open reading frame 40","123207",-0.0680822852729754,7.80222979640892,-0.311861207993385,0.757413125980462,0.911779003015113,-4.69493116561053
"8","1552312_a_at","MFAP3","microfibril associated protein 3","4238",-0.191277164116213,5.46377331747402,-0.835873391878631,0.410170359855399,0.803943790551489,-4.63512449886856
"9","1552316_a_at","GIMAP1","GTPase, IMAP family member 1","170575",-0.0339269195495664,5.47166882554883,-0.131464111827792,0.896330622464901,0.961887860581945,-4.70305501738949
"10","1552326_a_at","CFAP53","cilia and flagella associated protein 53","220136",0.0918398999962111,6.29505290286782,0.33783963108332,0.737956672885195,0.906525853906249,-4.69322189756643
"11","1552329_at","RBBP6","RB binding protein 6, ubiquitin ligase","5930",0.0518406160184082,6.36185911674531,0.293818734325017,0.771022780954798,0.915742857549707,-4.69603881800811
"12","1552330_at","CENPBD1","CENPB DNA-binding domain containing 1","92806",0.00870992696175676,5.45376740206616,0.0479705576992452,0.962073854525402,0.98797538508296,-4.70458142273768
"13","1552334_at","TRIOBP","TRIO and F-actin binding protein","11078",0.162198450336387,5.43098667983335,0.838365079167028,0.408793054126015,0.803943790551489,-4.63471742407534
"14","1552344_s_at","CNOT7","CCR4-NOT transcription complex subunit 7","29883",-0.204215519518067,6.4709160856002,-0.763379076523817,0.451502428554513,0.811545021367598,-4.64647980770588
"15","1552347_at","CRYZL1","crystallin zeta like 1","9946",0.27716663214157,7.89409867758347,1.26137749994202,0.217386660402013,0.795882243645472,-4.55037027373513
"16","1552362_a_at","LEAP2","liver enriched antimicrobial peptide 2","116842",0.274063912924052,5.91672163369036,1.20480187007979,0.238176371740633,0.795882243645472,-4.56332045300057
"17","1552365_at","SCIN","scinderin","85477",0.154090231424899,6.0790189422628,0.28803843385835,0.775398919507094,0.917912050338404,-4.69637987466024
"18","1552391_at","CCDC185","coiled-coil domain containing 185","164127",-0.270264193532886,4.20002560939977,-1.72053939037673,0.0961618343963014,0.795882243645472,-4.42882368590998
"19","1552400_a_at","TMEM266","transmembrane protein 266","123591",-0.135527139170347,6.50861804731178,-0.926310364010971,0.362052608029296,0.797434892122988,-4.61964762637238
"20","1552426_a_at","TM2D3","TM2 domain containing 3","80213",-0.102658582253914,9.57243711687775,-0.468245940860962,0.643165451020128,0.87235644799985,-4.68261719655249
"21","1552430_at","WDR17","WD repeat domain 17","116966",-0.326076269103768,6.1092962840974,-1.3140729912592,0.199286902354874,0.795882243645472,-4.53787761868183
"22","1552439_s_at","MEGF11","multiple EGF like domains 11","84465",-0.129650209060245,6.24903223360832,-0.368677596503196,0.715089095187961,0.897699803359077,-4.69101813937336
"23","1552448_a_at","FAM167A-AS1","FAM167A antisense RNA 1","83656",0.0830811166863148,4.74451314693138,0.528794562383093,0.601036964270626,0.856197371374775,-4.67655849479846
"24","1552455_at","PRUNE2","prune homolog 2 with BCH domain","158471",0.903873450572628,7.32709317856214,1.59165509510936,0.122480109692853,0.795882243645472,-4.46567636044529
"25","1552470_a_at","ABHD11","abhydrolase domain containing 11","83451",-0.208290969578337,4.34793450049324,-0.911539306141731,0.369647329850159,0.798931004847276,-4.62227327695805
"26","1552472_a_at","ACAP2","ArfGAP with coiled-coil, ankyrin repeat and PH domains 2","23527",-0.0753754722627624,6.03459644521079,-0.451233336767631,0.655231731357485,0.874291698805826,-4.68419085359908
"27","1552476_s_at","PLCD3","phospholipase C delta 3","113026",-0.0533443527939523,7.58513235978013,-0.274177889879531,0.785922831440175,0.921817796243538,-4.69717036415728
