FileName;Group;Gender;Genome;ShortName
GSM300168;FEM.CT;FEM;CT;FEM.CT.1
GSM300171;FEM.CT;FEM;CT;FEM.CT.2
GSM300172;FEM.CT;FEM;CT;FEM.CT.3
GSM300187;FEM.CT;FEM;CT;FEM.CT.4
GSM300190;FEM.CT;FEM;CT;FEM.CT.5
GSM300193;FEM.CT;FEM;CT;FEM.CT.6
GSM300197;FEM.CT;FEM;CT;FEM.CT.7
GSM300219;FEM.CT;FEM;CT;FEM.CT.8
GSM300223;FEM.CT;FEM;CT;FEM.CT.9
GSM300169;MALE.CT;MALE;CT;MALE.CT.1
GSM300170;MALE.CT;MALE;CT;MALE.CT.2
GSM300174;MALE.CT;MALE;CT;MALE.CT.3
GSM300178;MALE.CT;MALE;CT;MALE.CT.4
GSM300182;MALE.CT;MALE;CT;MALE.CT.5
GSM300185;MALE.CT;MALE;CT;MALE.CT.6
GSM300205;MALE.CT;MALE;CT;MALE.CT.7
GSM300209;MALE.CT;MALE;CT;MALE.CT.8
GSM300215;MALE.CT;MALE;CT;MALE.CT.9
GSM1176212;FEM.AD;FEM;AD;FEM.AD.1
GSM1176213;FEM.AD;FEM;AD;FEM.AD.2
GSM1176214;FEM.AD;FEM;AD;FEM.AD.3
GSM1176215;FEM.AD;FEM;AD;FEM.AD.4
GSM1176216;FEM.AD;FEM;AD;FEM.AD.5
GSM1176217;FEM.AD;FEM;AD;FEM.AD.6
GSM1176218;FEM.AD;FEM;AD;FEM.AD.7
GSM1176219;FEM.AD;FEM;AD;FEM.AD.8
GSM1176220;FEM.AD;FEM;AD;FEM.AD.9
GSM1176221;MALE.AD;MALE;AD;MALE.AD.1
GSM1176222;MALE.AD;MALE;AD;MALE.AD.2
GSM1176223;MALE.AD;MALE;AD;MALE.AD.3
GSM1176224;MALE.AD;MALE;AD;MALE.AD.4
GSM1176225;MALE.AD;MALE;AD;MALE.AD.5
GSM1176226;MALE.AD;MALE;AD;MALE.AD.6
GSM1176227;MALE.AD;MALE;AD;MALE.AD.7
GSM1176228;MALE.AD;MALE;AD;MALE.AD.8
GSM1176229;MALE.AD;MALE;AD;MALE.AD.9
