"","FEM.CT.1","FEM.CT.2","FEM.CT.3","FEM.CT.4","FEM.CT.5","FEM.CT.6","FEM.CT.7","FEM.CT.8","FEM.CT.9","MALE.CT.1","MALE.CT.2","MALE.CT.3","MALE.CT.4","MALE.CT.5","MALE.CT.6","MALE.CT.7","MALE.CT.8","MALE.CT.9","FEM.AD.1","FEM.AD.2","FEM.AD.3","FEM.AD.4","FEM.AD.6","FEM.AD.7","FEM.AD.8","FEM.AD.9","MALE.AD.1","MALE.AD.2","MALE.AD.3","MALE.AD.4","MALE.AD.5","MALE.AD.6","MALE.AD.7","MALE.AD.8","MALE.AD.9"
"ZNF37BP",6.45905595755627,7.04060705068136,5.96400353605563,6.55160399749678,5.79090699302577,5.50589777843987,6.4588486132772,5.65952783111519,6.27141027863151,6.61028107713245,6.85773888965652,6.4397851365153,6.63993316541574,6.35055614954589,6.46144909609963,6.41328271525564,6.10074949863902,4.99807869141585,5.47073251935081,4.54321160677958,4.83105361386969,4.56707110029217,6.47994778186894,6.490093867179,6.55160399749678,4.98356054188697,6.35607972964828,5.90198308206848,6.66484686572047,6.14232328377715,6.96967710536299,6.68753770831318,6.59356661578154,6.5229138908826,6.89490899042664
"MSC-AS1",4.72689744780129,4.57951161597149,5.162714113775,5.11071318188042,5.28079444734876,4.63504602092819,4.56994974011004,4.55023034907866,5.00604050282424,5.51350965433216,4.7134797739782,4.35444093720174,5.2772922797741,5.07103911741678,5.09813612077799,4.47087975363916,6.30152221970006,6.73351063155424,6.50249469269403,6.65104607646471,6.75324762719989,6.44712216717269,6.40212988492874,5.07614169591581,5.11071318188042,6.46151658109493,4.75611264603879,4.44844919390709,4.98919837262723,5.83261854964603,4.39642037002046,5.48353000653036,5.23629925134776,5.21761609639728,4.11314779224436
"CD24",7.69095125114582,7.78584905367747,7.444314413758,7.1362321721745,8.48680115177611,8.57464082785558,8.31535895149489,6.63539298607286,7.87548340709365,6.90332219487844,5.32824204958323,8.55435190209391,7.68296840238514,7.86835213976635,8.7880328684196,5.6144511642931,8.77528437296407,8.70877585975308,9.24406095233727,8.94883803158154,8.91005866195217,9.36263146945718,8.30887972859595,7.02343954617263,7.1362321721745,8.46683425835952,5.45625042804413,4.81170571978656,8.49590572863266,6.733596395233,8.37553453621802,7.07755362127629,8.00592236279083,6.15302473235488,5.58537913799049
"LINC01354",6.57534702248286,6.25297724264589,5.78767524114914,5.64707388788991,5.80531619837874,7.15484734224076,6.69189174600228,5.67605754219547,5.63532462274608,4.16523078231417,5.9318422923011,6.51909009773768,5.35087020018547,6.04240937935473,6.34846268806423,5.12698559979766,5.68927346501143,6.60546568860629,6.84872927226538,6.62733604082723,6.80554648099185,5.67083239118672,4.7438734611709,5.39307491866712,5.64707388788991,6.41216876640297,4.88980039066681,5.26956995081345,5.77683561785894,3.4459765100544,4.61622099871325,3.86668819311167,5.17380185716654,4.2290545397162,5.2994675399122
"TUNAR",6.423886103334,5.6361064947515,7.16600991637887,8.24962179481111,7.23289136214969,5.52708332635318,5.0447811615982,7.00139096960974,6.65494273184544,6.85799984837604,5.58632809155242,5.63135026368335,8.23836589894528,7.01311209457576,7.06312465175984,5.55027424161745,8.06281079780743,7.94423218174062,8.1435162463501,8.33687442655857,8.07439147292616,7.84002600848733,8.03007244600122,7.1232871704779,8.24962179481111,8.03747549188276,5.63954721379746,5.50687927022124,6.22714715114681,7.48691910007638,7.19806416623048,6.43874222147339,6.93752584872853,7.15544063122015,7.38436063269845
"LINC02192",4.76113453929097,4.18530252902848,4.084248518678,4.23116048979355,4.44893702743731,4.48662657534277,4.02698814531816,3.86271003044503,4.2556661788804,4.54126493050928,4.06484339217814,4.14299786798426,4.22688817609544,4.39557173233174,5.7339787719365,3.9213597715164,4.56956823505203,5.756432062639,5.46436155572848,7.52547514869173,6.95015715361573,5.99138945152978,4.53132758738486,4.20109137490244,4.23116048979355,5.84430649398717,3.89839550599638,4.06379313007083,4.5501256291403,4.33552869823813,4.71692582839367,3.94150846884881,4.59147851425485,4.44893702743731,4.12588552000031
"EDIL3",9.60527725758742,9.74614781966962,9.7895968564408,8.21208779035109,10.2238497535788,9.83872744893615,11.059807765164,9.26816420131267,9.86200653315339,8.76694577195815,8.0252099240615,10.211785777528,9.37136589250191,9.78201078176775,9.54026181815566,9.97527699359143,8.42891377335045,7.75638605481599,7.46417797515282,6.11227225139265,6.99207150442112,6.30945230151452,8.8410549403657,9.81097018081372,8.21208779035109,7.42912251710179,10.0070549536454,10.5252566421355,10.2784436278006,8.95724801067453,9.37850922651923,9.52090853692924,10.7069046190166,10.0177788994375,10.3141888418713
"ACTR2",8.50756200238893,8.20125322427683,7.97365510599929,7.69016139225412,8.36325823524674,7.52790562050107,8.55119033913721,7.34928206683293,8.07145568155677,8.13555017833505,7.61470751757905,7.34891051637204,8.83307938857553,8.82403966904726,8.22938187987808,8.06806253293954,8.31386735623152,7.14496238404207,6.94582270415968,6.10778405380505,6.9580255450448,5.59576135222564,8.50125901271421,8.50787075512412,7.69016139225412,6.66392706805037,7.64220101839433,7.17410378487238,8.71334993385195,9.1258984365128,8.93360353921725,7.89990349385734,8.33761124929391,7.3083508081475,8.53025101375336
"HIPK3",7.49595013208683,6.53818161389862,6.68609837238198,6.18456342484456,7.57516506632201,7.54978405968109,7.75018851558899,6.27369488780077,7.24235078111409,6.40559574808257,6.87754629030747,6.31749413843389,6.68367766889239,6.93127973941735,7.62787169480528,6.17107638976655,6.45885473972744,4.87428262131728,4.73689973027976,4.2144305998728,5.27013433721069,3.94915268279974,5.33339673717802,6.35655645696318,6.18456342484456,4.42941623631475,5.71336860828566,5.94415059235285,7.03801386140949,6.73401651945487,7.41876255415602,5.22877622889277,6.68531345678919,6.03985830786566,7.23772323583683
"MBNL2",9.39337468344519,9.51804966438441,9.57827557824431,8.39032519865547,9.47426210050513,9.10101412919393,10.1921170942629,8.92464550293071,9.4655100682891,8.87466980874712,8.32646608630499,9.64372764423657,9.23336368006436,9.77674431987038,8.98776342094022,9.47602864218686,8.77334427579082,7.36801026308853,7.52534178785367,6.25601412463931,7.03617012881329,6.52223988718762,9.21698251671439,9.83017383740901,8.39032519865547,7.04286636393064,9.58926983279061,9.86596525352589,9.72453414114974,8.87755450051154,9.74035124540153,9.21549215374989,9.91944261968019,9.21706697962039,9.72045397918024
