"","PROBEID","SYMBOL","GENENAME","ENTREZID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1255_g_at","GUCA1A","guanylate cyclase activator 1A","2978",0.390052802845571,5.10503818015059,1.41420660948736,0.165762651736049,0.333145155005327,-5.13021360900626
"2","1552264_a_at","MAPK1","mitogen-activated protein kinase 1","5594",-0.605354496866919,8.38601461924262,-2.00499750300975,0.0524114086031856,0.179865661152155,-4.22458521351841
"3","1552274_at","PXK","PX domain containing serine/threonine kinase like","54899",-0.878186277276884,9.37910907037404,-2.5980498951244,0.0134329847655415,0.095422471061775,-3.07370845464349
"4","1552277_a_at","MSANTD3","Myb/SANT DNA binding domain containing 3","91283",0.197421277699573,7.94476066211304,1.47826517522461,0.147902666535935,0.311802926506079,-5.04508270801687
"5","1552296_at","BEST4","bestrophin 4","266675",0.468950423557396,4.5891205770694,3.06472621404716,0.00407950441365967,0.0524518033308925,-2.03063569645958
"6","1552301_a_at","CORO6","coronin 6","84940",0.789246743202672,8.19983927269062,3.35262400486127,0.00187260648257466,0.0367950747453267,-1.33862533519323
"7","1552303_a_at","TMEM106A","transmembrane protein 106A","113277",0.41649144500478,5.77464885886336,2.5411232352453,0.0154303521391191,0.102529960159737,-3.19331582482756
"8","1552309_a_at","NEXN","nexilin F-actin binding protein","91624",0.0615043600792875,6.02578936446583,0.256047034815542,0.799350003747267,0.878100265668314,-6.0456256538872
"9","1552310_at","C15orf40","chromosome 15 open reading frame 40","123207",0.406180234928172,7.94885764383548,1.62050318044219,0.113720359967546,0.270188294067552,-4.84428673441496
"10","1552312_a_at","MFAP3","microfibril associated protein 3","4238",-0.691157397156793,5.81706285506274,-2.82429239864478,0.00762764250447291,0.0719238881619148,-2.58132943066119
"11","1552316_a_at","GIMAP1","GTPase, IMAP family member 1","170575",0.484121629471687,5.65086661070858,1.71450066612914,0.0949050368400776,0.245459055153102,-4.70292025896164
"12","1552321_a_at","CCDC65","coiled-coil domain containing 65","85478",0.195019503079529,4.32355656770461,1.31554410501509,0.196519137584215,0.369642266626028,-5.25472750266161
"13","1552326_a_at","CFAP53","cilia and flagella associated protein 53","220136",0.328962005548024,6.76224879773739,0.967384856758065,0.339708986174097,0.516558542862408,-5.62764253605598
"14","1552330_at","CENPBD1","CENPB DNA-binding domain containing 1","92806",0.354360895865436,5.91043951557088,1.85054653487562,0.072329735638052,0.211573922005677,-4.48651962042542
